"REF_DATE","GEO","DGUID","Indicator","Authority","Type of use","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1961-01","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1961-01","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1961-01","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","185","","","","0"
"1961-04","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1961-04","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1961-04","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1961-04","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","187","","","","0"
"1961-07","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1961-07","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1961-07","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1961-07","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","190","","","","0"
"1961-10","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1961-10","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1961-10","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1961-10","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","196","","","","0"
"1962-01","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1962-01","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1962-01","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1962-01","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","203","","","","0"
"1962-04","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1962-04","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1962-04","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1962-04","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","211","","","","0"
"1962-07","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1962-07","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1962-07","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1962-07","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","220","","","","0"
"1962-10","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1962-10","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1962-10","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1962-10","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","228","","","","0"
"1963-01","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1963-01","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1963-01","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1963-01","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","238","","","","0"
"1963-04","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1963-04","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1963-04","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1963-04","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","248","","","","0"
"1963-07","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1963-07","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1963-07","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1963-07","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","258","","","","0"
"1963-10","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1963-10","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1963-10","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1963-10","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","270","","","","0"
"1964-01","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1964-01","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1964-01","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1964-01","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","282","","","","0"
"1964-04","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
"1964-04","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Non-medical use","Dollars","81","millions","6","v1001849098","1.1.1.2","0","","","","0"
"1964-04","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Medical use","Dollars","81","millions","6","v1001849099","1.1.2.1","0","","","","0"
"1964-04","Canada","2016A000011124","Household final consumption expenditure","Unlicensed source","Non-medical use","Dollars","81","millions","6","v1001849100","1.1.2.2","295","","","","0"
"1964-07","Canada","2016A000011124","Household final consumption expenditure","Licensed source","Medical use","Dollars","81","millions","6","v1001849097","1.1.1.1","0","","","","0"
